giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,dakika
2026-03-19,KLRHO,dip,5.3,0.156,126.4,23384.0,2026-03-19,122.608,stop,-3.03,-709.0,0.32,
2026-03-19,KLSER,dip,7.5,0.186,26.82,23384.0,2026-03-19,27.6246,hedef,2.97,694.0,3.06,
2026-03-24,YESIL,dip,8.1,0.054,1.43,110639.0,2026-03-25,1.4729,hedef,2.97,3283.0,9.09,
2026-03-26,ARENA,dip,10.0,0.132,27.14,28480.0,2026-03-26,27.9542,hedef,2.97,845.0,3.24,
2026-03-26,BYDNR,kirilim,6.0,1.047,42.0,28480.0,2026-03-26,40.74,stop,-3.03,-864.0,0.05,
2026-03-26,LILAK,kirilim,6.1,1.161,38.16,28480.0,2026-03-27,39.3048,hedef,2.97,845.0,3.51,
2026-03-26,RUBNS,kirilim,12.2,0.992,41.34,28480.0,2026-03-26,42.5802,hedef,2.97,845.0,5.18,
2026-03-27,BIGEN,dip,8.5,0.081,9.18,43134.0,2026-03-27,9.4554,hedef,2.97,1280.0,4.03,
2026-03-27,HATSN,dip,10.1,0.185,38.58,43134.0,2026-03-27,37.4226,stop,-3.03,-1308.0,0.26,
2026-03-30,BIGEN,dip,6.2,0.09,9.28,115564.0,2026-03-30,9.0016,stop,-3.03,-3505.0,1.51,
2026-03-31,AYEN,kirilim,7.1,0.945,32.52,22412.0,2026-03-31,31.5444,stop,-3.03,-680.0,0.74,
2026-03-31,GWIND,kirilim,6.6,1.132,29.72,22412.0,2026-04-01,28.8284,stop,-3.03,-680.0,1.62,
2026-03-31,MOBTL,kirilim,5.9,1.011,11.99,22412.0,2026-03-31,12.3497,hedef,2.97,665.0,3.0,
2026-03-31,SEKUR,kirilim,6.5,1.192,6.89,22412.0,2026-04-01,6.6833,stop,-3.03,-680.0,4.5,
2026-03-31,YAYLA,dip,8.0,0.186,24.02,22412.0,2026-04-01,24.7406,hedef,2.97,665.0,7.41,
2026-04-01,ADEL,kirilim,12.1,1.102,43.56,11202.0,2026-04-01,42.2532,stop,-3.03,-340.0,0.0,
2026-04-01,ANELE,dip,33.8,0.13,15.02,11202.0,2026-04-01,15.4706,hedef,2.97,332.0,3.06,
2026-04-01,VKING,dip,6.0,0.126,26.08,11202.0,2026-04-02,25.2976,stop,-3.03,-340.0,2.99,
2026-04-01,YAYLA,dip,9.5,0.17,23.8,11202.0,2026-04-01,24.514,hedef,2.97,332.0,3.95,
2026-04-02,AYEN,kirilim,7.7,1.092,35.56,11164.0,2026-04-03,36.6268,hedef,2.97,331.0,7.2,
2026-04-02,BEGYO,dip,15.5,0.035,4.53,11164.0,2026-04-02,4.6659,hedef,2.97,331.0,3.75,
2026-04-02,BIENY,dip,5.0,0.116,24.4,11164.0,2026-04-02,25.132,hedef,2.97,331.0,4.51,
2026-04-02,BIGTK,dip,32.2,0.094,234.3,11164.0,2026-04-02,227.271,stop,-3.03,-339.0,0.73,
2026-04-02,ERCB,dip,6.6,0.124,54.2,11164.0,2026-04-02,55.826,hedef,2.97,331.0,3.32,
2026-04-02,MARTI,dip,8.6,0.153,1.56,11164.0,2026-04-02,1.6068,hedef,2.97,331.0,3.21,
2026-04-02,SMRVA,dip,8.5,0.04,12.1438,11164.0,2026-04-02,11.7794,stop,-3.03,-339.0,0.89,
2026-04-02,TUREX,dip,5.8,0.034,8.0,11164.0,2026-04-02,8.24,hedef,2.97,331.0,4.5,
2026-04-02,VRGYO,dip,5.8,0.085,2.28,11164.0,2026-04-07,2.2116,stop,-3.03,-339.0,2.63,
2026-04-03,ERCB,dip,11.2,0.186,57.8,29996.0,2026-04-03,59.534,hedef,2.97,890.0,3.37,
2026-04-03,FADE,kirilim,18.8,0.958,17.75,29996.0,2026-04-03,17.2175,stop,-3.03,-910.0,0.0,
2026-04-03,KARTN,dip,8.3,0.191,69.45,29996.0,2026-04-06,71.5335,hedef,2.97,890.0,6.98,
2026-04-06,AKMGY,kirilim,8.5,1.233,323.5,23822.0,2026-04-07,333.205,hedef,2.97,707.0,6.57,
