tarih,hisse,rapor_giris,tv_kaynak,yf_kaynak,tv_open,tv_high,tv_low,tv_close,tv_prev_close,yf_open,yf_high,yf_low,yf_close,yf_prev_close,yf_1h_open,open_fark_%,giris_tv_fark_%,giris_yf_fark_%,sorun,durum
2026-05-11,BIZIM,35.0,cache_saatlik,yfinance,35.0,36.7,30.52,30.94,33.38,35.0,36.7,30.52,30.94,33.38,35.0,0.0,0.0,0.0,OK,OK
2026-05-11,BVSAN,157.9,cache_saatlik,yfinance,157.9,165.5,146.0,146.5,150.5,157.9,165.5,146.0,146.5,150.5,157.9,0.0,0.0,0.0,OK,OK
2026-05-11,FONET,6.0,cache_saatlik,yfinance,6.0,6.39,5.94,6.12,6.0,6.0,6.39,5.94,6.12,6.0,6.0,0.0,0.0,0.0,OK,OK
2026-05-11,KRDMB,92.5,cache_saatlik,yfinance,92.5,97.95,92.4,95.2,92.4,92.5,97.95,92.4,95.2,92.4,92.5,0.0,0.0,0.0,OK,OK
2026-05-11,OZSUB,30.2,cache_saatlik,yfinance,30.2,30.8,28.78,30.0,29.36,30.2,30.8,28.78,30.0,29.36,30.2,0.0,0.0,0.0,OK,OK
2026-05-11,TBORG,151.2,cache_saatlik,yfinance,151.2,151.2,147.8,148.4,147.8,151.2,151.2,147.8,148.4,147.8,151.2,0.0,0.0,0.0,OK,OK
2026-05-11,ZEDUR,11.3,cache_saatlik,yfinance,11.3,11.95,10.96,11.06,10.87,11.3,11.95,10.96,11.06,10.87,11.3,0.0,0.0,0.0,OK,OK
2026-05-12,A1YEN,3.99,cache_saatlik,yfinance,3.99,4.14,3.87,3.88,3.87,3.99,4.14,3.87,3.88,3.87,3.99,0.0,0.0,0.0,OK,OK
2026-05-12,ARASE,114.8,cache_saatlik,yfinance,114.8,119.5,113.1,116.8,110.4,114.8,119.5,113.1,116.8,110.4,114.8,0.0,0.0,0.0,OK,OK
2026-05-12,BALSU,15.2,cache_saatlik,yfinance,15.2,15.32,14.85,14.92,14.93,15.2,15.32,14.85,14.92,14.93,15.2,0.0,0.0,0.0,OK,OK
2026-05-12,BIGTK,228.0,cache_saatlik,yfinance,228.0,232.8,223.4,232.8,211.7,228.0,232.8,223.4,232.8,211.7,228.0,0.0,0.0,0.0,OK,OK
2026-05-12,ERBOS,217.9,cache_saatlik,yfinance,217.9,226.0,212.7,212.7,224.1,217.9,226.0,212.7,212.7,224.1,217.9,0.0,0.0,0.0,OK,OK
2026-05-12,ESEN,4.17,cache_saatlik,yfinance,4.17,4.3,4.1,4.18,3.91,4.17,4.3,4.1,4.18,3.91,4.17,0.0,0.0,0.0,OK,OK
2026-05-12,KORDS,73.0,cache_saatlik,yfinance,73.0,79.0,72.2,79.0,71.85,73.0,79.0,72.2,79.0,71.85,73.0,0.0,0.0,0.0,OK,OK
2026-05-12,KRVGD,3.35,cache_saatlik,yfinance,3.35,3.46,3.21,3.4,3.18,3.35,3.46,3.21,3.4,3.18,3.35,0.0,0.0,0.0,OK,OK
2026-05-12,RTALB,4.78,cache_saatlik,yfinance,4.78,4.84,4.24,4.29,4.4,4.78,4.84,4.24,4.29,4.4,4.78,0.0,0.0,0.0,OK,OK
2026-05-12,TBORG,141.4,cache_saatlik,yfinance,141.4,143.7,140.1,141.7,148.4,141.4,143.7,140.1,141.7,148.4,141.4,0.0,0.0,0.0,OK,OK
2026-05-12,TCKRC,118.0,cache_saatlik,yfinance,118.0,126.5,115.4,125.0,117.3,118.0,126.5,115.4,125.0,117.3,118.0,0.0,0.0,0.0,OK,OK
2026-05-13,AKENR,13.85,cache_saatlik,yfinance,13.85,14.77,13.62,13.85,13.43,13.85,14.77,13.62,13.85,13.43,13.85,0.0,0.0,0.0,OK,OK
2026-05-13,ATATP,193.7,cache_saatlik,yfinance,193.7,202.0,182.4,186.1,188.1,193.7,202.0,182.4,186.1,188.1,193.7,0.0,0.0,0.0,OK,OK
2026-05-13,BAKAB,50.5,cache_saatlik,yfinance,50.5,52.0,46.9,46.9,49.84,50.5,52.0,46.9,46.9,49.84,50.5,0.0,0.0,0.0,OK,OK
2026-05-13,BIGTK,238.6,cache_saatlik,yfinance,238.6,251.5,227.0,238.0,232.8,238.6,251.5,227.0,238.0,232.8,238.6,0.0,0.0,0.0,OK,OK
2026-05-13,RGYAS,173.0,cache_saatlik,yfinance,173.0,196.3,171.2,189.0,179.9,173.0,196.3,171.2,189.0,179.9,173.0,0.0,0.0,0.0,OK,OK
2026-05-13,ULUSE,266.25,cache_saatlik,yfinance,266.25,282.75,260.25,282.75,257.25,266.25,282.75,260.25,282.75,257.25,266.25,0.0,0.0,0.0,OK,OK
2026-05-14,ALCAR,771.5,cache_saatlik,yfinance,771.5,786.0,770.5,777.0,770.0,771.5,786.0,770.5,777.0,770.0,771.5,0.0,0.0,0.0,OK,OK
2026-05-14,BRLSM,18.1,cache_saatlik,yfinance,18.1,19.36,18.1,19.36,17.6,18.1,19.36,18.1,19.36,17.6,18.1,0.0,0.0,0.0,OK,OK
2026-05-14,KRDMB,94.5,cache_saatlik,yfinance,94.5,98.55,93.75,98.55,94.0,94.5,98.55,93.75,98.55,94.0,94.5,0.0,0.0,0.0,OK,OK
2026-05-15,FORMT,2.6,cache_saatlik,yfinance,2.6,2.63,2.53,2.56,2.62,2.6,2.63,2.53,2.56,2.62,2.6,0.0,0.0,0.0,OK,OK
2026-05-15,GARFA,33.5,cache_saatlik,yfinance,33.5,35.9,31.84,35.66,32.92,33.5,35.9,31.84,35.66,32.92,33.5,0.0,0.0,0.0,OK,OK
2026-05-18,DUNYH,144.2,cache_saatlik,yfinance,144.2,152.5,138.3,152.5,138.7,109.1,109.1,109.1,109.1,109.1,144.2,27.714,0.0,27.714,"OPEN,HIGH,LOW,CLOSE,PREV_CLOSE,RAPOR!=YF",UYUMSUZ
2026-05-18,GARFA,35.66,cache_saatlik,yfinance,35.66,37.5,33.52,33.84,35.66,35.66,37.5,33.52,33.84,35.66,35.66,0.0,0.0,0.0,OK,OK
2026-05-18,GSDHO,6.0,cache_saatlik,yfinance,6.0,6.31,5.36,5.36,5.84,6.0,6.31,5.36,5.36,5.84,6.0,0.0,0.0,0.0,OK,OK
2026-05-18,ISSEN,10.04,cache_saatlik,yfinance,10.04,10.52,9.97,10.52,9.57,10.04,10.52,9.97,10.52,9.57,10.04,0.0,0.0,0.0,OK,OK
2026-05-18,JANTS,18.98,cache_saatlik,yfinance,18.98,19.41,17.8,17.8,18.74,18.98,19.41,17.8,17.8,18.74,18.98,0.0,0.0,0.0,OK,OK
2026-05-20,EKSUN,7.4,cache_saatlik,yfinance,7.4,7.9,7.3,7.73,7.46,7.4,7.9,7.3,7.73,7.46,7.4,0.0,0.0,0.0,OK,OK
2026-05-20,LKMNH,15.2,cache_saatlik,yfinance,15.2,15.99,15.2,15.72,15.0,15.2,15.99,15.2,15.72,15.0,15.2,0.0,0.0,0.0,OK,OK
2026-05-21,BAKAB,52.2,cache_saatlik,yfinance,52.2,52.2,45.36,45.36,50.4,52.2,52.2,45.36,45.36,50.4,52.2,0.0,0.0,0.0,OK,OK
2026-05-21,BIGTK,211.5,cache_saatlik,yfinance,211.5,231.2,209.0,212.1,211.1,211.5,231.2,209.0,212.1,211.1,211.5,0.0,0.0,0.0,OK,OK
2026-05-21,DAPGM,9.77,cache_saatlik,yfinance,9.77,10.1,9.01,9.01,10.01,9.77,10.1,9.01,9.01,10.01,9.77,0.0,0.0,0.0,OK,OK
2026-05-21,VERUS,571.5,cache_saatlik,yfinance,571.5,587.0,571.5,573.0,571.0,571.5,587.0,571.5,573.0,571.0,571.5,0.0,0.0,0.0,OK,OK
2026-05-21,VRGYO,2.21,cache_saatlik,yfinance,2.21,2.22,2.08,2.08,2.2,2.21,2.22,2.08,2.08,2.2,2.21,0.0,0.0,0.0,OK,OK
2026-05-22,ALVES,2.6,cache_saatlik,yfinance,2.6,2.76,2.59,2.69,2.83,2.6,2.76,2.59,2.69,2.83,2.6,0.0,0.0,0.0,OK,OK
2026-05-22,GUNDG,1100.0,cache_saatlik,yfinance,1100.0,1185.0,1100.0,1185.0,1078.0,1100.0,1185.0,1100.0,1185.0,1078.0,1100.0,0.0,0.0,0.0,OK,OK
