tarih,hisse,tip,grup,kat,pos52,acilis,gun_yuksek_%,en_yuksek_%,barem,stop,bar_sayisi
2026-05-18,TUREX,kontrol,dip,0.35,0.103,8.46,1.42,1.42,+1%,False,484
2026-05-20,TUREX,kontrol,dip,0.3,0.1,8.35,3.47,3.47,+3%,False,483
2026-05-21,TUREX,kontrol,dip,0.53,0.098,8.3,0.48,0.48,stop/<1%,True,460
2026-05-22,TUREX,kontrol,dip,2.11,0.073,7.84,3.32,3.32,+3%,False,483
2026-05-25,TUREX,kontrol,dip,0.32,0.086,8.09,7.54,7.54,+5%+,False,479
2026-06-01,TUREX,kontrol,dip,0.29,0.104,8.3,2.29,2.29,+2%,False,484
2026-06-02,TUREX,kontrol,dip,0.59,0.098,8.21,0.97,0.97,stop/<1%,False,480
2026-06-03,TUREX,kontrol,dip,0.33,0.101,8.25,9.94,9.94,+5%+,False,484
2026-06-05,TUREX,kontrol,dip,0.37,0.122,8.63,0.46,0.46,stop/<1%,True,484
2026-05-22,ULUFA,kontrol,dip,0.88,0.18,3.62,6.35,6.35,+5%+,False,437
2026-05-21,ULUSE,kontrol,taze_kirilim,2.09,0.939,288.25,7.63,0.0,stop/<1%,True,456
2026-05-22,ULUSE,kontrol,taze_kirilim,1.4,0.839,280.0,14.2,14.2,+5%+,False,481
2026-06-01,ULUSE,kontrol,taze_kirilim,0.07,0.899,338.0,8.65,8.65,+5%+,False,480
2026-05-15,UNLU,kontrol,dip,1.1,0.196,13.84,0.94,0.94,stop/<1%,False,347
2026-05-15,USAK,kontrol,dip,1.49,0.06,1.68,0.6,0.6,stop/<1%,False,243
2026-05-18,USAK,kontrol,dip,2.07,0.054,1.66,0.6,0.6,stop/<1%,False,466
2026-05-20,USAK,kontrol,dip,1.08,0.044,1.63,1.23,1.23,+1%,True,482
2026-05-21,USAK,kontrol,dip,0.26,0.034,1.6,0.63,0.63,stop/<1%,True,451
2026-05-22,USAK,kontrol,dip,0.61,-0.01,1.45,9.66,9.66,+5%+,False,467
2026-05-25,USAK,kontrol,dip,0.26,0.04,1.57,1.27,1.27,+1%,False,448
2026-06-01,USAK,kontrol,dip,0.25,0.053,1.61,1.24,1.24,+1%,False,456
2026-06-02,USAK,kontrol,dip,0.29,0.05,1.6,1.25,1.25,+1%,False,461
2026-06-03,USAK,kontrol,dip,0.25,0.057,1.62,0.62,0.62,stop/<1%,False,458
