tarih,kat,ilk_ret,getiri_net,sonuc,hisse
2026-04-09,8.030893716178467,0.0537029016890429,-0.037000000000000026,stop,GLRMK
2026-05-11,10.056712902957763,0.011046133853151341,-0.037000000000000026,stop,GLYHO
2026-05-20,8.50058645460583,0.08423645320197037,-0.007,kapanis,GMTAS
2026-04-17,24.129771314719623,0.027289266221952824,0.005396694214875881,kapanis,GRNYO
2026-04-08,8.306857598690206,0.0020387359836899765,-0.010051881993896165,kapanis,GSDDE
2026-04-29,18.42740590337253,0.018835616438356295,-0.007,kapanis,GSDDE
2026-05-06,20.26417906960137,0.0,-0.03700000000000014,stop,GSDDE
2026-06-05,8.513505144935632,0.02238805970149249,-0.03700000000000014,stop,GSDHO
2026-04-29,28.184645600225103,0.01200800533689117,0.039143704680289944,kapanis,GWIND
2026-04-02,9.635235225293654,0.032786885245901676,-0.030015873015873044,kapanis,GZNMI
2026-04-20,11.061673810871772,-0.0012084592145015227,-0.036999999999999915,stop,HATEK
2026-04-24,13.625689227679928,-0.017231795441912112,-0.037000000000000026,stop,HATEK
2026-04-22,10.272747950952288,0.02398286937901495,-0.037000000000000026,stop,HATSN
2026-04-09,14.606948132047526,-0.0029761904761904656,-0.037000000000000026,stop,HKTM
2026-04-16,9.257486226418191,0.04294917680744459,-0.037000000000000026,stop,HKTM
2026-04-22,11.356463674449863,0.009216589861751334,0.043000000000000045,hedef,HOROZ
2026-04-24,20.15925693442555,0.011643835616438336,-0.037000000000000026,stop,HOROZ
2026-04-08,8.149639216335204,-0.006233766233766258,0.02802352326189251,kapanis,HTTBT
2026-05-14,11.775373394715889,0.0395778364116095,-0.037000000000000026,stop,HUNER
2026-04-27,16.149273927847247,-0.009459459459459474,0.043000000000000045,hedef,HURGZ
2026-05-20,11.545506065251722,-0.05714285714285716,-0.037000000000000026,stop,ICBCT
2026-05-26,8.860248289920303,-0.019230769230769162,-0.037000000000000026,stop,ICBCT
2026-03-31,17.44483790679093,-0.006472491909385147,0.043000000000000045,hedef,ICUGS
2026-04-08,18.444754360104657,0.10702614379084952,0.043000000000000045,hedef,IHAAS
2026-05-08,18.512523650082795,-0.030303030303030165,-0.019499999999999955,kapanis,IHGZT
2026-06-03,12.589815999545337,0.038277511961722466,-0.037000000000000026,stop,IHLAS
2026-04-22,13.612868151686211,0.021645021645021467,-0.03700000000000014,stop,IHLGM
2026-06-03,8.33647993473313,0.014634146341463428,-0.03700000000000014,stop,IHLGM
2026-05-12,8.866425919300836,-0.04064352243861136,-0.016708737864077665,kapanis,INDES
2026-05-11,17.227738143937575,-0.029484029484029506,0.02337974683544298,kapanis,INFO
2022-07-29,10.520855980370843,0.05528188286808988,-0.007,kapanis,INTEK
2022-12-27,49.688759482032026,-0.009702457956015542,-0.007,kapanis,INTEK
2026-05-15,23.229095258501374,0.04836895388076479,-0.037000000000000026,stop,INVEO
2026-05-22,11.334862975511431,0.0016949152542373724,0.025148900169204798,kapanis,INVES
