hedef_%,hisse,giris_tarih,cikis_tarih,grup,kat,giris,kayitli_sebep,kayitli_cikis,kayitli_getiri_%,kayitli_tl_kar,beklenen_sebep,beklenen_cikis,beklenen_cikis_tarih,gun_kapanis_%,max_gordugu_%,ilk_bar_saat,1dk_gun_low,1dk_gun_high,flags,durum
3,BAKAB,2026-05-21,2026-05-21,kirilim,9.4,52.2,stop,50.634,-3.63,-831.0,stop,50.634,2026-05-21,-13.1,0.0,09:55,45.36,52.2,-,OK
3,BIGTK,2026-05-21,2026-05-21,dip,56.0,211.5,hedef,217.845,2.37,541.0,hedef,217.845,2026-05-21,0.3,3.03,09:55,209.0,231.2,-,OK
3,GMTAS,2026-05-21,2026-05-21,tepe,18.4,48.42,stop,46.9674,-3.63,-831.0,stop,46.9674,2026-05-21,-7.3,0.0,09:55,44.88,48.42,-,OK
3,VERTU,2026-05-21,2026-05-21,orta,63.7,42.64,stop,41.3608,-3.63,-831.0,stop,41.3608,2026-05-21,-12.6,0.09,09:55,37.26,42.68,-,OK
3,ADGYO,2026-05-22,2026-05-22,orta,9.4,50.0,hedef,51.5,2.37,265.0,hedef,51.5,2026-05-22,15.2,6.7,09:55,50.0,58.5,-,OK
3,AGYO,2026-05-22,2026-05-22,orta,9.1,8.08,hedef,8.3224,2.37,265.0,hedef,8.3224,2026-05-22,8.9,3.96,09:55,8.08,9.05,-,OK
3,CEMZY,2026-05-22,2026-05-22,orta,9.7,12.0,hedef,12.36,2.37,265.0,hedef,12.36,2026-05-22,13.3,7.67,09:55,12.0,13.6,-,OK
3,INVES,2026-05-22,2026-05-22,orta,13.1,590.0,hedef,607.7,2.37,265.0,hedef,607.7,2026-05-22,3.4,3.14,09:55,589.0,612.0,-,OK
3,KOPOL,2026-05-22,2026-05-22,dip,44.1,5.03,hedef,5.1809,2.37,265.0,hedef,5.1809,2026-05-22,15.1,9.54,09:55,5.03,5.82,-,OK
3,LUKSK,2026-05-22,2026-05-22,orta,10.6,90.1,hedef,92.803,2.37,265.0,hedef,92.803,2026-05-22,8.8,8.6,09:55,90.1,98.75,-,OK
3,RYSAS,2026-05-22,2026-05-22,orta,10.2,19.06,hedef,19.6318,2.37,265.0,hedef,19.6318,2026-05-22,4.9,3.2,09:55,18.78,20.16,-,OK
