tarih,giris,cikis,sonuc,getiri_brut,getiri_net,kat,acilis_ciro,hisse,hedef
2026-04-02,3.24,3.1752000000000002,stop,-0.020000000000000018,-0.027000000000000017,6.131976284217091,32018331.240000002,QUAGR,0.03
2026-04-28,4.13,4.0474,stop,-0.020000000000000018,-0.027000000000000017,4.414577647842411,10852488.36,QUAGR,0.03
2026-05-26,3.77,3.77,kapanis,0.0,-0.007,86.75538484661072,131917019.92,QUAGR,0.03
2024-06-26,17.50999321,18.0352930063,hedef,0.030000000000000027,0.023000000000000027,4.462743723876693,624050.000000081,SARKY,0.03
2024-07-04,17.94999304,18.4884928312,hedef,0.030000000000000027,0.023000000000000027,3.4739858839311912,818125.1002096434,SARKY,0.03
2024-08-02,16.58999356,16.63999354,kapanis,0.0030138637377505884,-0.003986136262249412,3.7188219052002496,268289.20001295564,SARKY,0.03
2024-08-05,15.76999388,15.48999399,kapanis,-0.017755231367280633,-0.024755231367280632,11.18948875105367,973786.7197780923,SARKY,0.03
2024-08-27,13.356,13.75668,hedef,0.030000000000000027,0.023000000000000027,5.199489866310474,271705.00000004435,SARKY,0.03
2024-09-16,13.596,14.00388,hedef,0.030000000000000027,0.023000000000000027,7.068210833486875,351275.32000004535,SARKY,0.03
2024-10-09,13.152,12.888959999999999,stop,-0.020000000000000018,-0.027000000000000017,3.8254059216802285,219885.4799999561,SARKY,0.03
2024-11-12,12.54,12.2892,stop,-0.020000000000000018,-0.027000000000000017,5.347000679881319,213681.59999999998,SARKY,0.03
2024-11-25,11.916,11.712,kapanis,-0.017119838872104776,-0.024119838872104775,3.9847007956604497,309319.4999999603,SARKY,0.03
2024-11-26,11.778,11.664,kapanis,-0.009679062659195159,-0.016679062659195158,4.178288623898178,438587.99999999994,SARKY,0.03
2025-01-06,11.76,11.946,kapanis,0.015816326530612157,0.008816326530612158,5.542964154522686,452505.19999996084,SARKY,0.03
2025-03-17,11.934,11.838,kapanis,-0.008044243338360957,-0.015044243338360956,3.2173963367003227,221045.7200000398,SARKY,0.03
2025-03-18,12.156,12.52068,hedef,0.030000000000000027,0.023000000000000027,24.46909164335042,1718595.0199999595,SARKY,0.03
2025-05-12,11.436,11.658,kapanis,0.01941238195173134,0.01241238195173134,6.5663822186948435,630657.2800000381,SARKY,0.03
2025-05-13,11.658,11.42484,stop,-0.020000000000000018,-0.027000000000000017,4.8897246053198575,727575.7799999999,SARKY,0.03
2025-06-05,10.704,10.764,kapanis,0.005605381165919132,-0.001394618834080868,17.750809657002463,1717077.0,SARKY,0.03
2025-06-24,10.548,10.86444,hedef,0.030000000000000027,0.023000000000000027,3.3678100263839856,224135.83999996487,SARKY,0.03
2025-07-01,11.106,10.88388,stop,-0.020000000000000018,-0.027000000000000017,30.181691732589748,2576075.599999963,SARKY,0.03
2025-07-09,10.806,11.13018,hedef,0.030000000000000027,0.023000000000000027,3.429377616393211,1334483.9999999641,SARKY,0.03
2025-07-23,13.356,13.75668,hedef,0.030000000000000027,0.023000000000000027,3.9257262463530114,2755476.36,SARKY,0.03
2025-08-25,12.54,12.456,kapanis,-0.006698564593301426,-0.013698564593301425,4.236855708783769,531027.2000000417,SARKY,0.03
2025-09-08,12.9,12.642,stop,-0.020000000000000018,-0.027000000000000017,3.5338227095334784,817666.5,SARKY,0.03
2025-10-28,15.02,15.1,kapanis,0.005326231691078487,-0.0016737683089215133,11.656451596670793,1736171.78,SARKY,0.03
2025-12-15,16.91,16.5718,stop,-0.020000000000000018,-0.027000000000000017,15.983783114632335,2182077.3,SARKY,0.03
2026-01-07,22.12,22.7836,hedef,0.030000000000000027,0.023000000000000027,12.615932745724288,9453977.4,SARKY,0.03
2026-01-12,25.42,26.1826,hedef,0.030000000000000027,0.023000000000000027,3.186467594572832,7247204.199999999,SARKY,0.03
2026-01-13,29.58,28.9884,stop,-0.020000000000000018,-0.027000000000000017,3.916258095860462,13561694.72,SARKY,0.03
2026-01-15,33.62,34.6286,hedef,0.030000000000000027,0.023000000000000027,3.410913730364468,20893924.8,SARKY,0.03
2026-01-16,37.62,36.867599999999996,stop,-0.020000000000000018,-0.027000000000000017,4.527066891473232,41371994.4,SARKY,0.03
2026-01-19,28.74,29.6022,hedef,0.030000000000000027,0.023000000000000027,9.200324877438678,92915087.6,SARKY,0.03
2026-02-03,42.02,43.28060000000001,hedef,0.030000000000000027,0.023000000000000027,5.426195143923667,124212102.0,SARKY,0.03
2026-03-02,36.58,35.8484,stop,-0.020000000000000018,-0.027000000000000017,3.6564042796756815,9048215.4,SARKY,0.03
2026-03-19,28.8,28.224,stop,-0.020000000000000018,-0.027000000000000017,16.737056757675315,21673164.6,SARKY,0.03
2026-04-08,27.92,27.361600000000003,stop,-0.019999999999999907,-0.026999999999999906,4.066492789789451,4142964.0,SARKY,0.03
2026-05-13,29.36,30.2408,hedef,0.030000000000000027,0.023000000000000027,8.433631227993565,9866398.64,SARKY,0.03
