hisse,grup,olay,hedef,stop,gun_sonu,compound_%,durum,ort_getiri_%,ort_max_%,ort_min_%,en_yuksek_max_%,en_derin_min_%,tarihler
ACSEL,DIP,2,1,0,1,5.82,KAR,2.87,4.06,0.15,5.32,0.1,"02-04, 03-19"
BIOEN,DIP,2,1,0,1,5.68,KAR,2.8,4.97,-0.3,7.29,-0.6,"03-02, 03-06"
BEGYO,DIP,4,2,0,2,5.45,KAR,1.35,2.76,-1.66,5.81,-4.33,"03-02, 03-19, 04-02, 05-26"
BORLS,DIP,12,6,4,2,5.43,KAR,0.48,4.95,-3.82,13.36,-9.54,"01-12, 01-13, 01-14, 01-15, 02-17, 03-02, 03-05, 03-19, 04-03, 04-10, 06-22, 06-24"
BANVT,DIP,6,3,1,2,5.33,KAR,0.9,3.98,-1.23,8.6,-4.79,"02-09, 03-03, 03-19, 04-20, 05-26, 06-18"
ANGEN,DIP,3,1,0,2,5.25,KAR,1.72,2.92,-0.57,5.82,-1.21,"01-08, 03-02, 03-19"
PATEK,DIP,3,2,0,1,5.21,KAR,1.72,5.25,-0.83,9.84,-1.47,"02-27, 03-02, 03-19"
KOTON,DIP,4,1,0,3,5.1,KAR,1.26,2.31,-0.94,6.06,-1.75,"03-02, 03-09, 03-19, 05-26"
ESCAR,DIP,6,3,1,2,5.05,KAR,0.85,4.65,-1.07,12.49,-4.0,"01-05, 01-28, 02-04, 03-02, 03-09, 03-19"
LKMNH,DIP,2,1,0,1,4.85,KAR,2.4,3.93,0.0,5.2,0.0,"04-08, 05-20"
QUAGR,DIP,8,4,3,1,4.82,KAR,0.63,3.98,-3.73,9.71,-10.0,"01-05, 02-13, 02-16, 03-05, 03-06, 03-19, 04-02, 05-26"
YAYLA,DIP,3,2,0,1,4.66,KAR,1.55,4.56,-0.93,6.63,-1.84,"03-02, 03-19, 06-18"
ALCAR,DIP,8,2,0,6,4.56,KAR,0.57,2.41,-1.06,6.6,-2.39,"01-05, 03-02, 03-19, 04-13, 04-20, 05-14, 05-26, 07-01"
KLSER,DIP,2,1,0,1,4.39,KAR,2.17,4.22,-0.38,6.31,-0.69,"03-17, 03-19"
EGSER,DIP,2,1,0,1,4.37,KAR,2.16,3.72,-0.34,6.05,-0.69,"03-02, 03-19"
AKYHO,DIP,5,2,1,2,4.33,KAR,0.88,2.88,-1.45,5.95,-3.42,"01-15, 03-19, 04-20, 07-01, 07-03"
PKENT,DIP,5,2,0,3,4.19,KAR,0.84,2.48,-2.57,5.06,-4.94,"02-11, 03-05, 03-19, 05-26, 06-30"
OTTO,DIP,3,1,0,2,4.03,KAR,1.35,3.16,-2.2,6.51,-2.38,"03-02, 03-19, 05-26"
EMKEL,DIP,5,3,1,1,3.93,KAR,0.81,3.85,-4.64,9.17,-12.56,"02-09, 03-19, 05-26, 06-05, 07-06"
CEMTS,DIP,2,1,0,1,3.73,KAR,1.86,2.37,-1.11,3.96,-1.45,"03-19, 05-25"
VRGYO,DIP,4,2,1,1,3.72,KAR,0.95,3.99,-1.7,7.39,-5.88,"03-02, 04-09, 05-21, 05-26"
AZTEK,DIP,2,1,0,1,3.19,KAR,1.59,3.08,0.12,5.67,-0.74,"03-09, 03-19"
CMBTN,DIP,5,1,0,4,3.17,KAR,0.63,2.11,-0.44,4.67,-0.75,"02-04, 02-10, 03-19, 05-26, 06-05"
ADEL,DIP,1,1,0,0,2.97,KAR,2.97,14.67,0.81,14.67,0.81,03-03
AVHOL,DIP,1,1,0,0,2.97,KAR,2.97,6.09,0.0,6.09,0.0,03-02
BESLR,DIP,1,1,0,0,2.97,KAR,2.97,3.15,-1.8,3.15,-1.8,01-16
BFREN,DIP,3,0,0,3,2.97,KAR,0.98,1.3,-0.38,2.55,-1.01,"03-10, 03-19, 05-26"
BLUME,DIP,1,1,0,0,2.97,KAR,2.97,4.61,-3.14,4.61,-3.14,07-06
BRLSM,DIP,1,1,0,0,2.97,KAR,2.97,3.33,0.07,3.33,0.07,01-12
DGGYO,DIP,1,1,0,0,2.97,KAR,2.97,8.55,0.0,8.55,0.0,03-02
EKSUN,DIP,1,1,0,0,2.97,KAR,2.97,6.53,-0.41,6.53,-0.41,03-02
ENSRI,DIP,1,1,0,0,2.97,KAR,2.97,7.5,0.0,7.5,0.0,06-22
IHEVA,DIP,1,1,0,0,2.97,KAR,2.97,5.8,0.0,5.8,0.0,03-02
INVEO,DIP,1,1,0,0,2.97,KAR,2.97,5.56,0.0,5.56,0.0,03-02
KERVN,DIP,1,1,0,0,2.97,KAR,2.97,10.47,9.95,10.47,9.95,01-26
KMPUR,DIP,1,1,0,0,2.97,KAR,2.97,6.09,0.38,6.09,0.38,03-02
KOPOL,DIP,1,1,0,0,2.97,KAR,2.97,15.71,1.59,15.71,1.59,05-22
KRDMA,DIP,1,1,0,0,2.97,KAR,2.97,4.3,-0.3,4.3,-0.3,01-26
KSTUR,DIP,1,1,0,0,2.97,KAR,2.97,3.33,3.33,3.33,3.33,01-06
LYDYE,DIP,1,1,0,0,2.97,KAR,2.97,17.56,-0.76,17.56,-0.76,03-02
MARBL,DIP,1,1,0,0,2.97,KAR,2.97,4.69,0.0,4.69,0.0,03-02
MEGAP,DIP,1,1,0,0,2.97,KAR,2.97,4.55,1.4,4.55,1.4,04-20
MERKO,DIP,1,1,0,0,2.97,KAR,2.97,5.78,-3.47,5.78,-3.47,07-06
PARSN,DIP,1,1,0,0,2.97,KAR,2.97,5.75,0.0,5.75,0.0,03-02
PENTA,DIP,1,1,0,0,2.97,KAR,2.97,5.53,0.08,5.53,0.08,03-02
PLTUR,DIP,1,1,0,0,2.97,KAR,2.97,6.37,0.0,6.37,0.0,03-02
SKYMD,DIP,1,1,0,0,2.97,KAR,2.97,9.14,0.0,9.14,0.0,03-02
SNPAM,DIP,1,1,0,0,2.97,KAR,2.97,5.78,5.68,5.78,5.68,04-15
SUMAS,DIP,1,1,0,0,2.97,KAR,2.97,6.21,3.25,6.21,3.25,02-26
TDGYO,DIP,1,1,0,0,2.97,KAR,2.97,4.97,-3.29,4.97,-3.29,05-26
TERA,DIP,1,1,0,0,2.97,KAR,2.97,15.0,0.36,15.0,0.36,07-08
YYAPI,DIP,1,1,0,0,2.97,KAR,2.97,18.58,7.08,18.58,7.08,03-25
HUNER,DIP,2,1,0,1,2.94,KAR,1.47,2.36,-0.32,4.06,-0.32,"02-02, 03-19"
EFOR,DIP,4,1,0,3,2.88,KAR,0.72,4.85,0.12,19.4,0.0,"03-17, 03-19, 03-23, 03-25"
NTHOL,DIP,2,1,0,1,2.83,KAR,1.42,3.64,0.12,7.06,-0.8,"05-22, 05-26"
