ilk_bar_tepe,ilk_bar_dip,ilk_bar_kapanis,ilk_saat_hareket,gun_sonu,sinyal,hisse
0.0,0.0,0.0,0.0,0.05724137848438127,False,ISKPL
0.0,0.0,0.0,0.0,0.00653594817889358,False,ISKPL
0.0,0.0,0.0,-0.0006688963683513238,-0.03678929790314933,True,ISKPL
0.0,0.0,0.0,0.0,0.08480565215327718,False,ISKPL
0.0,0.0,0.0,0.0,-0.03486120095820233,False,ISKPL
0.0,0.0,0.0,0.0033444818417573963,-0.09966555181582426,False,ISKPL
0.0,0.0,0.0,0.0031372523559078935,0.011764703932184872,True,ISKPL
0.0,0.0,0.0,0.0007733952597301919,0.08275328734258203,False,ISKPL
0.0,0.0,0.0,0.0,-0.015918956619096702,False,ISKPL
0.0,0.0,0.0,0.000724113013337524,0.01593048629342486,False,ISKPL
0.0,0.0,0.0,0.0,-0.032142856891250626,False,ISKPL
0.0,0.0,0.0,0.0,-0.02911208352894501,False,ISKPL
0.0,0.0,0.0,0.0,-0.025487255548374832,False,ISKPL
0.0,0.0,0.0,0.00853374769709947,0.07447633807285947,False,ISKPL
0.0,0.0,0.0,-0.0014471781061756728,0.03762662821173213,False,ISKPL
0.0,0.0,0.0,0.0006973501194114107,0.009762901671759083,False,ISKPL
0.0,0.0,0.0,0.004166666962246213,0.04166666717628642,False,ISKPL
0.0,0.0,0.0,-0.003333333568166119,-0.027333332910634445,False,ISKPL
0.0,0.0,0.0,0.0,-0.02033898445943927,True,ISKPL
0.0,0.0,0.0,0.0,-0.02006920313330307,False,ISKPL
0.0,0.0,0.0,0.0007002801621396326,0.04761904855875465,False,ISKPL
0.0,0.0,0.0,0.0,-0.024584716993682476,False,ISKPL
0.0,0.0,0.0,0.0006788866730140786,0.01765105110699472,False,ISKPL
0.0,0.0,0.0,0.0,0.006000000422698992,False,ISKPL
0.0,0.0,0.0,0.0,0.007289596269268284,False,ISKPL
0.0,0.0,0.0,0.0006565988636806352,0.0,False,ISKPL
0.0,0.0,0.0,0.0006557354405267724,0.015081965948387843,False,ISKPL
0.0,0.0,0.0,0.0012919897552208237,0.023255813318461938,False,ISKPL
0.0,0.0,0.0,0.0,0.025883840225769505,False,ISKPL
0.0,0.0,0.0,-0.0006153846580713163,0.01169230633566909,False,ISKPL
0.0,0.0,0.0,0.000607533457242404,-0.0066828680296665555,False,ISKPL
0.0,0.0,0.0,0.0,0.013333334272664477,False,ISKPL
0.0,0.0,0.0,0.0005934718522710991,-0.017804153477636864,True,ISKPL
0.0,0.0,0.0,0.0,0.03068592060439701,False,ISKPL
0.0,0.0,0.0,-0.0005834306125288569,0.09918319590938207,False,ISKPL
0.0,0.0,0.0,0.0,0.0,True,ISKPL
0.0,0.0,0.0,-0.0018181819462725901,-0.15227272679238757,True,ISKPL
0.0,0.0,0.0,0.001164822445838487,0.009318710865162005,True,ISKPL
0.0,0.0,0.0,-0.001731163007381853,0.012694788868034435,False,ISKPL
0.0,0.0,0.0,0.005988023952095967,-0.027944111776447067,False,ISKPL
0.0,0.0,0.0,0.0,0.03696098562628336,False,ISKPL
0.0,0.0,0.0,0.0,-0.0019723865877713243,False,ISKPL
0.0,0.0,0.0,0.001976284584980448,0.03359683794466428,False,ISKPL
0.0,0.0,0.0,0.0,0.03441682600382401,False,ISKPL
0.0,0.0,0.0,-0.0018450184501844769,0.03321033210332103,False,ISKPL
0.0,0.0,0.0,-0.0052631578947368585,0.0017543859649122862,False,ISKPL
0.0,0.0,0.0,0.0017543859649122862,0.029824561403508865,False,ISKPL
0.0,0.0,0.0,0.0,-0.015358361774744145,False,ISKPL
0.0,0.0,0.0,-0.0017513134851138146,0.11033274956217154,False,ISKPL
0.0,0.0,0.0,0.0,0.0015576323987538387,True,ISKPL
0.0,0.0,0.0,0.003095975232198178,0.035603715170278605,False,ISKPL
0.0,0.0,0.0,-0.0014925373134327957,0.010447761194029681,False,ISKPL
0.0,0.0,0.0,0.001474926253687281,-0.06342182890855463,False,ISKPL
0.0,0.0,0.0,-0.001577287066246047,-0.017350157728706517,False,ISKPL
0.0,0.0,0.0,-0.0016051364365972098,-0.0850722311396469,False,ISKPL
0.0,0.0,0.0,-0.0035211267605632646,-0.012323943661971759,False,ISKPL
0.0,0.0,0.0,0.0035906642728904536,0.025134649910233398,False,ISKPL
0.0,0.0,0.0,-0.0017391304347825765,0.06608695652173902,False,ISKPL
0.0,0.0,0.0,0.0,-0.029363784665579096,False,ISKPL
0.0,0.0,0.0,0.001677852348993314,0.020134228187919545,False,ISKPL
0.0,0.0,0.0,0.0,0.032478632478632585,True,ISKPL
