tarih,hisse,kat,kat_kova,acilis,gun_yuksek,gun_dusuk,gun_yuksek_%,gun_dusuk_%,en_yuksek_%,barem,stop,bar_sayisi
2026-04-22,PRZMA,6.95,5-8x,21.96,23.5,21.96,7.01,0.0,7.01,+5%+,False,204
2026-04-24,PRZMA,9.0,8x+,25.84,25.84,25.02,0.0,-3.17,0.0,stop/<1%,True,349
2026-05-04,PSDTC,4.68,3-5x,136.0,137.0,133.1,0.74,-2.13,0.74,stop/<1%,False,270
2026-05-22,PSDTC,5.95,5-8x,118.0,123.5,112.6,4.66,-4.58,2.2,+2%,True,231
2026-05-20,RODRG,6.51,5-8x,31.54,32.5,29.98,3.04,-4.95,0.0,stop/<1%,True,365
2026-05-22,RYSAS,10.19,8x+,19.06,20.16,18.78,5.77,-1.47,5.77,+5%+,False,480
2026-06-01,SAMAT,3.16,3-5x,7.3,7.7,6.9,5.48,-5.48,0.0,stop/<1%,True,433
2026-05-22,SANEL,5.35,5-8x,33.64,38.5,33.64,14.45,0.0,14.45,+5%+,False,362
2026-05-20,SANFM,17.33,8x+,8.35,8.59,8.01,2.87,-4.07,2.87,+2%,True,478
2026-05-21,SEGYO,3.17,3-5x,4.8,4.85,4.49,1.04,-6.46,1.04,+1%,True,364
2026-05-22,SEKFK,4.6,3-5x,9.6,10.83,9.54,12.81,-0.63,12.81,+5%+,False,212
2026-05-18,SERNT,3.33,3-5x,9.65,10.5,9.61,8.81,-0.41,8.81,+5%+,False,363
2026-05-20,SERNT,12.34,8x+,10.64,11.0,9.56,3.38,-10.15,0.85,stop/<1%,True,464
2026-05-11,SILVR,4.78,3-5x,2.58,2.78,2.55,7.75,-1.16,7.75,+5%+,False,402
2026-06-03,SKYLP,4.0,3-5x,332.75,339.0,310.0,1.88,-6.84,1.88,+1%,True,297
2026-05-20,SMART,8.79,8x+,36.76,40.1,35.52,9.09,-3.37,2.18,+2%,True,484
2026-05-15,SNICA,6.62,5-8x,4.33,4.53,4.2,4.62,-3.0,1.15,+1%,True,445
2026-05-18,SNICA,3.19,3-5x,4.52,4.54,4.33,0.44,-4.2,0.44,stop/<1%,True,444
2026-05-25,TARKM,3.82,3-5x,510.0,541.0,509.0,6.08,-0.2,6.08,+5%+,False,467
2026-05-22,TEHOL,4.71,3-5x,25.16,28.32,25.16,12.56,0.0,12.56,+5%+,False,484
2026-05-22,TEZOL,3.03,3-5x,17.4,18.9,17.16,8.62,-1.38,8.62,+5%+,False,478
2026-05-18,TGSAS,50.38,8x+,188.0,197.8,182.8,5.21,-2.77,5.21,+5%+,False,479
2026-05-22,TRCAS,3.96,3-5x,43.4,45.48,43.4,4.79,0.0,4.79,+4%,False,403
2026-05-21,TRGYO,6.81,5-8x,94.9,95.0,90.2,0.11,-4.95,0.11,stop/<1%,True,460
2026-05-22,TRHOL,3.47,3-5x,1378.0,1538.0,1355.0,11.61,-1.67,11.61,+5%+,False,444
2026-05-18,TSPOR,7.28,5-8x,1.0,1.0,0.99,0.0,-1.0,0.0,stop/<1%,False,474
2026-05-21,TSPOR,5.64,5-8x,0.97,0.98,0.91,1.03,-6.19,1.03,+1%,True,465
2026-05-15,TUCLK,3.86,3-5x,4.61,4.69,4.54,1.74,-1.52,1.74,+1%,False,227
2026-05-18,TUCLK,3.18,3-5x,4.62,4.7,4.22,1.73,-8.66,1.73,+1%,True,473
2026-06-04,TUREX,5.06,5-8x,9.2,9.9,8.54,7.61,-7.17,7.61,+5%+,True,474
2026-05-22,UCAYM,3.5,3-5x,29.98,33.0,29.8,10.07,-0.6,10.07,+5%+,False,477
2026-05-07,UFUK,121.92,8x+,1482.0,1500.0,1442.0,1.21,-2.7,1.21,+1%,False,247
2026-05-20,UFUK,11.3,8x+,1446.0,1446.0,1324.0,0.0,-8.44,0.0,stop/<1%,True,301
2026-06-04,UFUK,27.88,8x+,1387.0,1387.0,1236.0,0.0,-10.89,0.0,stop/<1%,True,331
2026-05-15,ULAS,3.05,3-5x,28.76,29.62,28.62,2.99,-0.49,2.99,+2%,False,285
2026-06-05,ULUFA,8.57,8x+,4.0,4.2,3.89,5.0,-2.75,5.0,+5%+,False,476
2026-05-13,UNLU,6.93,5-8x,14.7,14.97,13.72,1.84,-6.67,1.84,+1%,True,460
2026-05-14,UNLU,3.97,3-5x,13.77,14.14,13.77,2.69,0.0,2.69,+2%,False,405
2026-05-20,VBTYZ,9.64,8x+,27.78,29.1,25.12,4.75,-9.58,1.3,+1%,True,474
2026-05-20,VERUS,3.88,3-5x,562.0,575.5,562.0,2.4,0.0,2.4,+2%,False,299
2026-05-21,VERUS,5.69,5-8x,571.5,587.0,571.5,2.71,0.0,2.71,+2%,False,241
2026-05-22,VERUS,10.41,8x+,573.0,600.0,571.0,4.71,-0.35,4.71,+4%,False,267
2026-05-18,VKFYO,7.64,5-8x,31.5,31.8,30.68,0.95,-2.6,0.95,stop/<1%,False,243
